Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Tandon, SN; Subramaniam, Annapurni; Girish, V; Postma, J; Sankarasubramanian, K; Sriram, S; Stalin, CS; Mondal, Chayan; Sahu, S; Joseph, P; ",In-orbit calibrations of the ultraviolet imaging telescope,The Astronomical Journal,154,3,128,2017,IOP Publishing
"Safonova, M; Mkrtichian, D; Hasan, P; Sutaria, F; Brosch, N; Gorbikov, E; Joseph, P; ",Search for low-mass objects in the globular cluster M4. I. detection of variable stars,The Astronomical Journal,151,2,27,2016,IOP Publishing
"George, K; Joseph, P; Côté, P; Ghosh, SK; Hutchings, JB; Mohan, Rekhesh; Postma, J; Sankarasubramanian, K; Sreekumar, P; Stalin, CS; ",Dissecting star formation in the “Atoms-for-Peace” galaxy-UVIT observations of the post-merger galaxy NGC7252,Astronomy & Astrophysics,614,,A130,2018,EDP Sciences
"Sukanya, N; Stalin, CS; Joseph, P; Rakshit, S; Praveen, D; Damle, R; ",Long-term ultraviolet variability of Seyfert galaxies,Journal of Astrophysics and Astronomy,39,6,1-13,2018,Springer India
"George, Koshy; Joseph, P; Mondal, Chayan; Subramanian, S; Subramaniam, A; Paul, KT; ",Insights on bar quenching from a multiwavelength analysis: The case of Messier 95,Astronomy & Astrophysics,621,,L4,2019,EDP Sciences
"George, K; Joseph, P; Mondal, Chayan; Devaraj, A; Subramaniam, A; Stalin, CS; Côté, P; Ghosh, SK; Hutchings, JB; Mohan, Rekhesh; ",UVIT observations of the star-forming ring in NGC 7252: Evidence of possible AGN feedback suppressing central star formation,Astronomy & Astrophysics,613,,L9,2018,EDP Sciences
"Tandon, SN; Postma, J; Joseph, P; Devaraj, A; Subramaniam, A; Barve, Indrajit V; George, K; Ghosh, SK; Girish, V; Hutchings, JB; ",Additional Calibration of the Ultraviolet Imaging Telescope on Board AstroSat,The Astronomical Journal,159,4,158,2020,IOP Publishing
"Ghosh, SK; Joseph, P; Kumar, A; Postma, J; Stalin, CS; Subramaniam, A; Tandon, SN; Barve, IV; Devaraj, A; George, K; ",In orbit performance of UVIT over the 5 years,arXiv preprint arXiv:2012.13525,,,,2020,
"Ghosh, SK; Tandon, SN; Joseph, P; Devaraj, A; Shelat, DS; Stalin, CS; ",Performance of the UVIT Level-2 pipeline,Journal of Astrophysics and Astronomy,42,2,1-7,2021,Springer India
"Joseph, P; Stalin, CS; Tandon, SN; Ghosh, SK; ",Curvit: An open-source Python package to generate light curves from UVIT data,Journal of Astrophysics and Astronomy,42,2,1-10,2021,Springer India
"George, Koshy; Joseph, P; Mondal, C; Subramanian, S; Subramaniam, A; Paul, KT; ",More insights into bar quenching. Multi-wavelength analysis of four barred galaxies,arXiv preprint arXiv:2010.04005,,,,2020,
